id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
421,73452,Lionheart,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
829,128845,Thomas the Tank Engine & Friends,NULL,1993-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
938,46170,J League Champion Soccer,NULL,1993-03-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1047,78789,Tony La Russa Baseball,NULL,1993-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1083,40266,Bombjack Twin,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1298,150081,Dino Hunt,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2157,66867,Pachinko Wars II,NULL,1993-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2374,93193,Get the Girl!,NULL,1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2520,35504,Major Stryker,NULL,1993-01-15 00:00:00.000,NULL,NULL,NULL,NULL,60.0000,0
3202,39039,Super Putty,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3315,165408,Sensible Soccer: European Champions,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3446,42451,Super Slapshot,NULL,1993-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3525,95511,Nomad,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3545,3357,Microsoft Flight Simulator 5.0,NULL,1993-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
3948,134153,Superman: The Man of Steel,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4005,151916,Socrates Chess 3,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4012,151913,Mephisto Genius 2,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4165,40428,Super Cup Finals,NULL,1993-06-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4383,77143,Alfapet,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4505,76466,Silverball,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4697,2396,WW2 Air Force Commander,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4924,131738,Now That's What I Call Games 2,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5065,39585,Tao Taido,NULL,1993-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5132,73270,Eagle Eye Mysteries in London,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5171,38352,Action Pachio,NULL,1993-04-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5292,14669,Dylan Dog: Ombre,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5359,40136,Fire Ball,NULL,1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
